         96116814 function calls (96095838 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.153    0.153 multiarray.py:1(<module>)
        1    0.000    0.000    0.151    0.151 lgmres.py:1(<module>)
        2    0.000    0.000    0.150    0.075 overrides.py:1(<module>)
    99044    0.068    0.000    0.148    0.000 _ufunc_config.py:33(seterr)
      702    0.002    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
      117    0.000    0.000    0.141    0.001 artist.py:1837(kwdoc)
      702    0.001    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
        1    0.000    0.000    0.138    0.138 contour.py:1(<module>)
      990    0.004    0.000    0.137    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
        1    0.000    0.000    0.130    0.130 backend_bases.py:1(<module>)
   104/94    0.000    0.000    0.125    0.001 <frozen importlib._bootstrap_external>:1294(exec_module)
   104/94    0.052    0.001    0.125    0.001 {built-in method _imp.exec_dynamic}
      117    0.003    0.000    0.120    0.001 artist.py:1598(pprint_setters)
       64    0.001    0.000    0.112    0.002 <frozen importlib._bootstrap_external>:1640(_fill_cache)
       64    0.111    0.002    0.111    0.002 {built-in method posix.listdir}
    49522    0.022    0.000    0.106    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.105    0.105 text.py:1(<module>)
        1    0.000    0.000    0.104    0.104 _shgo.py:1(<module>)
     4252    0.006    0.000    0.097    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.095    0.095 _axes.py:1(<module>)
        1    0.059    0.059    0.088    0.088 backend_macosx.py:152(__init__)
        1    0.000    0.000    0.086    0.086 rcsetup.py:1(<module>)
    49522    0.019    0.000    0.083    0.000 _ufunc_config.py:435(__exit__)
    52093    0.068    0.000    0.080    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.075    0.075 _linprog.py:1(<module>)
        1    0.000    0.000    0.072    0.072 _minimize.py:1(<module>)
      572    0.005    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
     7305    0.036    0.000    0.070    0.000 inspect.py:879(cleandoc)
     7315    0.003    0.000    0.065    0.000 inspect.py:860(getdoc)
        1    0.000    0.000    0.065    0.065 iterative.py:1(<module>)
      572    0.064    0.000    0.064    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.063    0.063 _pickle.py:1(<module>)
        1    0.000    0.000    0.061    0.061 _misc.py:1(<module>)
        1    0.000    0.000    0.061    0.061 numerictypes.py:1(<module>)
        1    0.000    0.000    0.056    0.056 _type_aliases.py:1(<module>)
    99044    0.044    0.000    0.051    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.051    0.051 collections.py:1(<module>)
      223    0.000    0.000    0.048    0.000 artist.py:1422(__init__)
      223    0.014    0.000    0.048    0.000 artist.py:1442(get_aliases)
        1    0.000    0.000    0.047    0.047 tempfile.py:1(<module>)
        3    0.000    0.000    0.047    0.016 core.py:1(<module>)
        1    0.000    0.000    0.047    0.047 _linprog_highs.py:1(<module>)
   478703    0.043    0.000    0.047    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.047    0.047 random.py:1(<module>)
        2    0.000    0.000    0.045    0.022 _base.py:1(<module>)
        1    0.000    0.000    0.044    0.044 numeric.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _fontconfig_pattern.py:1(<module>)
    49500    0.043    0.000    0.043    0.000 {method 'normal' of 'numpy.random._generator.Generator' objects}
        1    0.000    0.000    0.042    0.042 hashlib.py:1(<module>)
        1    0.000    0.000    0.042    0.042 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.041    0.041 distance.py:1(<module>)
        1    0.000    0.000    0.041    0.041 py3k.py:1(<module>)
        2    0.000    0.000    0.039    0.020 shape_base.py:1(<module>)
        1    0.000    0.000    0.038    0.038 pyplot.py:439(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.038    0.013 pyplot.py:270(_get_backend_mod)
      2/1    0.000    0.000    0.038    0.038 pyplot.py:284(switch_backend)
        1    0.000    0.000    0.037    0.037 pickle.py:1(<module>)
        1    0.000    0.000    0.037    0.037 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.037    0.037 blas.py:1(<module>)
        1    0.000    0.000    0.036    0.036 colors.py:1(<module>)
        1    0.000    0.000    0.036    0.036 minimize_trustregion_constr.py:1(<module>)
   203302    0.036    0.000    0.036    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.033    0.033 _constraints.py:1(<module>)
     1330    0.005    0.000    0.033    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.033    0.033 __init__.py:240(_check_versions)
        1    0.000    0.000    0.033    0.033 textpath.py:1(<module>)
        1    0.000    0.000    0.032    0.032 patches.py:1(<module>)
        1    0.000    0.000    0.032    0.032 axes3d.py:1(<module>)
        1    0.011    0.011    0.031    0.031 _methods.py:1(<module>)
        9    0.000    0.000    0.031    0.003 _base.py:729(__init_subclass__)
